OBJECTID,zipcode,Rank,Neighborho,IRS_Ratio,HH_Size,Per_White,Per_Colleg,Rent,Index_Scor,IRS_Rati_1,IRS_Rati_2,HH_Incom_2,HH_Size_20,HH_Size_21,Percent_Wh,Percent__1,College_Pe,College__1,Gross_Rent,Gross_Re_1,MedInc4,HHChangAdj,Population,Populati_1,Populati_2,Evaluated
107,91602,52,Toluca Lake/North Hollywood/Studio City,-27.25,6.593,-3.989,8.067,28.026,0.373418472,0.405,0.295,63544,1.82,1.94,69.59,65.6,45.83,53.89,1123,1438,65973.83753,-3.68303197293,16978,18315,7.9,Yes
108,91604,65,Studio City,9.47,7.407,-7.723,10.534,32.574,0.346344528,0.181,0.198,90528,1.89,2.03,81.42,73.69,50.51,61.05,1263,1675,82897.25623,9.20506192488,26137,29072,11.2,Yes
109,91605,24,Sun Valley/Valley Glen/North Hollywood,-25.238,-4.065,4.123,5.677,31.483,0.433,3.503,2.619,43707,3.69,3.54,18.78,22.9,12.68,18.36,829,1090,44223.60136,-1.16815759937,57129,56060,-1.9,Yes
110,91606,28,North Hollywood/Valley Glen,-28.378,-2.288,3.532,6.882,27.66,0.422,2.833,2.029,42195,3.06,2.99,29.54,33.07,14.76,21.65,881,1125,43725.93462,-3.50120502467,45348,45467,0.3,Yes
111,91607,61,Valley Village/Valley Glen,-8.984,3.318,-3.076,9.229,27.167,0.356460377,0.567,0.516,52274,2.11,2.18,64.72,61.64,35.56,44.78,1005,1278,55767.54505,-6.26447703027,27439,29591,7.8,Yes
112,90058,0,"Mostly not LA  (Vernon, some Central Alameda)
(Vernon (some Central Alameda)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3624,2748,-24.2,No
113,90071,0,Downtown (very small residential population),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,-100,No
114,90073,0,Mostly not LA (VA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,0,No
115,90089,0,USC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3326,0,No
116,90095,0,UCLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
117,90211,0,Mostly not LA (Beverly Hills),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8313,8080,-2.8,No
