zip,Median House Value 2000,Median House Value 2014,% Change in House Value,Median Income 2000,Median Income 2014,% Change in Income,Median Rent 2000,Median Rent 2014,% Change in Rent,Outcome
95497,397100.0,694000.0,0.7476706119365399,69327.0,59375.0,-0.14,1375.0,1633.0,0.188,
95746,395500.0,599800.0,0.5165613147914033,100986.0,118919.0,0.18,1118.0,1752.0,0.567,
94116,395000.0,763200.0,0.9321518987341773,66627.0,84828.0,0.27,1171.0,1584.0,0.353,
95050,392600.0,610900.0,0.5560366785532348,58961.0,69341.0,0.18,1062.0,1451.0,0.366,
91208,392400.0,718000.0,0.8297655453618756,76034.0,88955.0,0.17,899.0,1561.0,0.736,
90005,392200.0,635500.0,0.6203467618561959,21998.0,31214.0,0.42,547.0,939.0,0.717,
95148,392000.0,600900.0,0.5329081632653061,89398.0,107324.0,0.2,1504.0,2001.0,0.33,
94595,391500.0,391300.0,-0.0005108556832694764,51418.0,58659.0,0.14,1132.0,1375.0,0.215,
95136,390800.0,524900.0,0.3431422722620266,74908.0,87500.0,0.17,1269.0,1721.0,0.356,
94709,390600.0,702600.0,0.7987711213517665,38613.0,59150.0,0.53,807.0,1425.0,0.766,
91362,390500.0,644400.0,0.6501920614596671,83750.0,100747.0,0.2,1150.0,1822.0,0.584,
95118,390500.0,625300.0,0.601280409731114,73134.0,90984.0,0.24,1110.0,1617.0,0.457,
94596,389900.0,722300.0,0.852526288791998,64389.0,78856.0,0.22,1010.0,1429.0,0.415,
92673,389200.0,731400.0,0.8792394655704008,92073.0,125629.0,0.36,1142.0,2001.0,0.752,
91423,388500.0,771200.0,0.985070785070785,52662.0,75671.0,0.44,888.0,1484.0,0.671,
90704,388100.0,724700.0,0.867302241690286,39840.0,55882.0,0.4,802.0,1339.0,0.67,
93117,387900.0,631000.0,0.6267079144109307,40901.0,55801.0,0.36,886.0,1450.0,0.637,
92629,386500.0,719500.0,0.8615782664941786,64622.0,88384.0,0.37,1143.0,1843.0,0.612,
94103,386400.0,636700.0,0.6477743271221532,31131.0,41612.0,0.34,627.0,946.0,0.509,
92109,386300.0,685300.0,0.7740098369143154,45202.0,67025.0,0.48,872.0,1433.0,0.643,
90292,385300.0,728700.0,0.8912535686478069,72215.0,103319.0,0.43,1442.0,2001.0,0.388,
94005,385200.0,609700.0,0.5828141225337488,65658.0,80233.0,0.22,975.0,1482.0,0.52,
95131,385100.0,544300.0,0.4133991171124383,87486.0,108366.0,0.24,1504.0,1868.0,0.242,
91030,384500.0,832200.0,1.164369310793238,55701.0,80479.0,0.44,833.0,1394.0,0.673,
94066,384500.0,602000.0,0.5656697009102731,61939.0,81369.0,0.31,1158.0,1685.0,0.455,
91007,384100.0,770700.0,1.0065087216870607,51255.0,72255.0,0.41,834.0,1392.0,0.669,
91602,383900.0,626300.0,0.631414430841365,47989.0,63544.0,0.32,817.0,1438.0,0.76,
90505,383500.0,694200.0,0.8101694915254237,60737.0,82313.0,0.36,989.0,1534.0,0.551,
92103,382700.0,561400.0,0.4669453880324014,39578.0,65793.0,0.66,710.0,1214.0,0.71,
95442,382600.0,614600.0,0.6063774176685833,56140.0,64712.0,0.15,810.0,1267.0,0.564,
95119,382000.0,532900.0,0.3950261780104712,87931.0,103319.0,0.18,1379.0,1894.0,0.373,
96145,381000.0,589300.0,0.5467191601049869,54545.0,68887.0,0.26,885.0,1340.0,0.514,
93101,378500.0,710100.0,0.8760898282694848,38714.0,54945.0,0.42,875.0,1397.0,0.597,
94947,378500.0,567400.0,0.49907529722589167,66970.0,81879.0,0.22,1145.0,1645.0,0.437,
92602,377900.0,703100.0,0.8605451177560202,112399.0,104149.0,-0.07,2001.0,1838.0,-0.081,
95062,377000.0,566900.0,0.5037135278514588,46181.0,62253.0,0.35,991.0,1444.0,0.457,
92705,376500.0,723900.0,0.9227091633466136,62368.0,82675.0,0.33,880.0,1382.0,0.57,
94401,376400.0,573100.0,0.5225823591923485,55112.0,72279.0,0.31,1095.0,1591.0,0.453,
91364,375800.0,651700.0,0.7341671101649814,79414.0,93919.0,0.18,1170.0,1810.0,0.547,
91301,375600.0,679200.0,0.8083067092651757,88725.0,109913.0,0.24,1221.0,1965.0,0.609,
95054,373500.0,636500.0,0.7041499330655957,85124.0,116855.0,0.37,1489.0,2001.0,0.344,
91377,373400.0,649100.0,0.7383502945902517,89561.0,117326.0,0.31,1480.0,2001.0,0.352,
95035,373000.0,547400.0,0.4675603217158177,84565.0,98899.0,0.17,1279.0,1798.0,0.406,
90291,372300.0,1000001.0,1.6860085952189094,45769.0,81025.0,0.77,848.0,1718.0,1.026,
90245,371900.0,762000.0,1.0489378865286367,61341.0,84004.0,0.37,882.0,1555.0,0.763,
95123,371800.0,531600.0,0.42980096826250674,75188.0,90881.0,0.21,1369.0,1810.0,0.322,
94502,371600.0,657200.0,0.7685683530678149,87855.0,105480.0,0.2,1568.0,2001.0,0.276,
