,zip,Index Change,Percent_Change_House,Percent_Change_Rent,Percent_Change_Public_Transp,Percent_Change_Population,Percent_Change_White,Outcome
160,93927,0.91,0.63956044,0.7476780190000001,0.002,0.247233773,0.309,0
161,95404,0.38,0.450213806,0.52309613,0.008,0.148248517,-0.044,0
162,94710,0.66,1.013860014,1.028391167,-0.094,-0.209841698,0.244,1
163,90638,0.43,0.532890365,0.750572082,0.002,0.041957601,-0.079,0
164,92119,0.55,0.512230216,0.707581227,0.002,0.095011442,-0.028,0
165,90703,0.31,0.5,0.561654733,0.013,-0.028578635,-0.034,0
166,95823,0.06,0.30119375600000003,0.589041096,0.011,0.020043217,0.055,0
167,91601,1.15,0.666010499,0.885885886,0.049,0.059127158,0.14400000000000002,1
168,90744,0.77,0.486677116,0.761658031,-0.009000000000000001,0.08916110199999999,0.362,0
169,95369,1.12,0.8451053279999999,0.871794872,-0.014,-0.152645273,-0.047,1
170,90630,0.5,0.487940631,0.747562297,-0.001,0.031900959,-0.08,0
171,92661,0.55,0.107696567,0.654075547,0.016,-0.253964497,-0.044,0
172,94705,0.07,0.417786561,0.753246753,0.044,0.027887165,0.028,0
173,94544,0.28,0.413422819,0.435501654,0.006,0.048284556,-0.02,0
174,92780,0.25,0.553664921,0.61345496,-0.006999999999999999,0.097934492,-0.03,0
175,90043,0.41,0.615497076,0.701986755,-0.022,-0.036706061,0.085,0
176,90740,0.64,0.388023369,0.525653437,0.0,0.00459114,-0.077,0
177,91344,0.17,0.516110472,0.686403509,0.01,0.088042077,-0.026,0
178,93445,0.33,0.773584906,0.6184798810000001,-0.015,-0.034222582,0.067,0
179,90650,0.7,0.4799382720000001,0.718383312,0.005,0.032070225,0.08800000000000001,0
180,93933,0.5,0.593594306,0.498079385,0.013,0.043494253,0.054000000000000006,0
181,94704,-0.09,0.24679803,0.827868852,0.055,0.241994057,-0.017,0
182,95663,0.3,0.602994012,0.435955056,0.0,0.221130221,-0.04,0
183,92123,0.42,0.624822695,0.88794926,-0.002,0.159535234,-0.079,1
184,92832,0.67,0.6350877189999999,0.620049505,-0.018000000000000002,0.030447737,0.021,0
185,94568,1.1,0.5977975879999999,0.3871681420000001,0.045,0.6230891239999999,-0.179,0
186,91706,0.65,0.396579805,0.673582296,-0.005,0.010443627,-0.046,0
187,90065,0.85,0.6789510990000001,0.774244833,0.013,-0.02672334,0.051,0
188,95722,0.14,0.466124661,0.745142857,0.006,0.213519313,-0.019,0
189,94555,0.47,0.502482074,0.420267086,0.017,0.052889585,-0.111,0
190,95223,0.57,0.521778584,0.664536741,0.0,-0.4084014,-0.022,0
191,90815,0.33,0.580823602,0.630977131,0.008,0.043196544,-0.021,0
192,92054,0.43,0.572267058,0.672554348,-0.001,-0.5623154770000001,0.127,0
193,91710,0.77,0.540237929,0.720626632,0.002,0.102610404,0.004,0
194,90603,0.43,0.470063694,0.961267606,0.011,0.071933407,-0.08900000000000001,1
195,91016,0.81,0.6335927370000001,0.7466666670000001,-0.003,0.028867235,-0.031,0
196,91340,0.95,0.445924765,0.760416667,-0.018000000000000002,0.062385761,0.262,0
197,95231,0.1,0.57195572,1.3060747659999998,-0.01,-0.024769019,0.207,1
198,93940,0.32,0.307474519,0.605586592,0.017,0.028014616000000003,-0.023,0
199,93280,-0.1,0.379022646,0.6790123459999999,-0.004,0.203850211,0.435,0
200,93101,0.2,0.7168352170000001,0.5965714289999999,0.038,0.036037456,0.041,0
201,92121,0.27,0.42578125,0.570017953,0.01,0.13747646,-0.185,0
202,92250,-0.05,0.477203647,0.534552846,0.002,0.05001241,0.117,0
203,94578,0.07,0.453823954,0.397374702,0.029,0.056447422,0.029,0
204,92620,0.43,0.560830861,0.597424893,0.004,0.6582244939999999,-0.225,0
205,95120,0.23,0.472671286,0.068910256,0.011,0.015745908,-0.077,0
206,91773,0.56,0.406749556,0.6763392859999999,0.008,0.000118116,-0.081,0
207,92707,0.46,0.356005789,0.6678043229999999,-0.016,0.015456592,-0.073,0
208,90005,0.9,0.659183673,0.716636197,0.009000000000000001,-0.101734319,-0.08199999999999999,0
209,92083,-0.82,0.399855908,0.453333333,-0.009000000000000001,-0.409898436,0.149,0
210,91354,0.27,0.509249184,0.545595054,0.003,0.6273751470000001,-0.132,0
211,91902,0.01,0.406124498,0.727272727,0.006999999999999999,0.122274009,0.026,0
212,91214,0.62,0.52,0.750819672,-0.001,0.06793581,-0.084,0
213,93534,-0.05,0.487206823,0.52295082,-0.003,0.114402917,-0.037000000000000005,0
214,91790,0.44,0.515647226,0.7180783820000001,-0.002,0.044777135,-0.092,0
215,95632,0.52,0.587030717,0.783387622,0.002,0.243187363,-0.023,0
216,95130,0.62,0.6546653139999999,0.248868778,-0.002,0.081247679,-0.104,0
217,92127,0.88,0.946784922,0.542016807,-0.004,1.091653355,-0.199,0
218,92026,0.1,0.501369863,0.578163772,-0.006,0.15094643800000002,0.057,0
219,91377,0.45,0.237157534,0.35202702700000005,-0.004,-0.020055372,-0.062,0
220,91320,0.48,0.535045479,0.5812036270000001,0.011,0.190152217,-0.077,0
221,93654,0.23,0.462827225,0.6743295020000001,0.009000000000000001,0.218829615,0.063,0
222,92126,0.55,0.455085865,0.676097561,0.0,0.053609442,-0.077,0
223,91345,0.32,0.518543956,0.497732426,-0.01,0.063969126,0.055,0
224,94044,0.5,0.545304778,0.44266239,-0.004,-0.011654532,-0.053,0
225,91108,0.01,0.254625274,0.049842602,0.006,0.035287855,-0.044,0
226,91020,0.95,0.482287135,0.729166667,0.013,0.230738523,-0.116,0
227,90715,0.21,0.5215208029999999,0.66027088,0.025,-0.028778012,-0.053,0
228,91711,0.27,0.642857143,0.7090216009999999,0.013,0.050957799000000005,-0.023,0
229,92629,0.56,0.390663391,0.6124234470000001,-0.008,-0.027877957,-0.019,0
230,90504,0.59,0.524146813,0.654921021,-0.005,0.035150328,-0.071,0
231,92102,1.25,0.63243762,0.808798646,-0.032,-0.047322963,0.321,1
232,91911,0.19,0.540031397,0.71388102,-0.01,0.17695855100000002,0.239,0
233,90040,0.36,0.423169751,0.451077944,-0.029,0.309450908,0.25,0
234,92602,-0.33,0.267166042,-0.08145927,0.009000000000000001,7.543572985,-0.038,0
235,90502,0.86,0.480578827,0.550113895,-0.006,0.005693156,-0.049,0
236,90008,0.16,0.474013776,0.656500803,0.029,0.070428016,0.061,0
237,94541,0.45,0.5056628910000001,0.427745665,0.021,0.041225479,-0.002,0
238,93004,0.37,0.489795918,0.842105263,0.003,0.110960955,0.021,1
239,92071,0.45,0.5969718820000001,0.632211538,-0.005,0.034765056,-0.036000000000000004,0
240,90028,1.17,0.763624842,0.895,-0.025,-0.018585171,0.044,1
241,90063,0.62,0.474516696,0.7333333329999999,-0.023,-0.023587109,0.078,0
242,90813,1.05,0.6326164870000001,0.8231939159999999,-0.021,-0.049295886,0.277,1
243,90036,0.42,0.7410791990000001,0.743048897,-0.008,0.107647864,-0.044,0
244,92106,0.29,0.729387962,1.05655527,0.013,0.05587679,-0.045,1
245,95215,0.43,0.618048269,0.511400651,-0.001,-0.00058878,0.049,0
246,95928,0.6,0.644007156,0.503987241,0.005,0.098991807,0.031,0
247,91784,-0.1,0.402669633,0.682926829,0.002,0.116763898,-0.033,0
248,96003,0.51,0.452117864,0.7046979870000001,0.005,0.070786002,-0.015,0
249,92841,0.53,0.416723317,0.636919315,0.001,0.044929519,-0.013,0
250,94041,0.63,0.44805492,0.38106603,0.036000000000000004,0.005938683,0.012,0
251,91007,0.33,0.4805725970000001,0.6690647479999999,0.01,0.105836702,-0.16899999999999998,0
252,90732,0.13,0.368623149,0.744834711,0.005,-0.06837848,-0.027000000000000003,0
253,90039,1.11,0.579673777,0.811989101,-0.024,-0.049921518,0.065,1
254,95672,0.67,0.395869191,1.13326226,-0.039,0.35840126200000005,-0.098,1
255,90001,0.65,0.4554280670000001,0.716549296,-0.005,0.033644757000000004,0.253,0
256,96002,0.42,0.490767736,0.619130435,-0.006,0.094583457,-0.047,0
257,93003,0.4,0.430322581,0.649006623,0.005,0.097310785,0.003,0
258,95819,0.81,0.672023375,0.822873082,0.006999999999999999,0.150964671,-0.023,1
259,90023,0.85,0.517097581,0.5841584160000001,-0.032,-0.033327716,0.125,0
260,95111,0.23,0.406639004,0.230326296,-0.019,0.054940677,0.138,0
261,93657,0.64,0.512030799,0.6291512920000001,-0.006,0.230474547,0.084,0
262,95403,0.08,0.442345277,0.502298851,-0.003,0.115753391,-0.019,0
263,92626,0.48,0.639060569,0.62226451,-0.004,0.07002074700000001,0.002,0
264,93955,0.68,0.577967417,0.813580247,0.011,-0.108495501,0.102,1
265,96080,0.55,0.376940133,0.588709677,0.006999999999999999,0.04631802,-0.011,0
266,91362,0.34,0.395061728,0.584347826,-0.003,0.076424831,-0.049,0
267,95326,0.76,0.714158504,0.860550459,0.0,0.393507638,0.114,1
268,95379,0.72,0.323253389,0.56122449,-0.003,-0.033501259,-0.013,0
269,91762,0.39,0.454545455,0.736842105,-0.004,0.035119739,0.042,0
270,95817,1.02,0.577799802,0.6759259259999999,-0.018000000000000002,-0.032814275,0.09,0
271,94019,0.63,0.3640477170000001,0.440261866,-0.008,0.025609552,0.012,0
272,92704,0.67,0.332627119,0.5503282279999999,-0.009000000000000001,-0.044474423,0.154,0
