zip,Average Education Index 2000,Average Education Index 2014,Index Change,Median Cost for House 2000,Median Cost for House 2014,Change in Cost for House,Median Income 2000,Median Income 2014,Income Change,Median Rent 2000,Median Rent 2014,Rent Change,Take Public Transp % in 2000,Take Public Transp % in 2014,Take Public Transp % Change,Total Population % in 2000,Total Population % in 2014,Total Population % Change,White Population % in 2000,White Population % in 2014,White Population % Change,Outcome
95033,15.45,15.82,0.370000000000001,2348.0,3389.0,1041.0,106675.0,126397.0,19722.0,1160.0,1576.0,416.0,0.002,0.001,-0.001,10170.0,9628.0,-542.0,0.9209999999999999,0.907,-0.013999999999999901,
92614,15.44,15.64,0.20000000000000107,1821.0,2516.0,695.0,76934.0,95984.0,19050.0,1358.0,1900.0,542.0,0.006,0.008,0.002,22493.0,25657.0,3164.0,0.616,0.574,-0.04200000000000004,
90212,15.42,16.02,0.5999999999999996,3936.0,4001.0,65.0,61039.0,84516.0,23477.0,1200.0,1902.0,702.0,0.02,0.040999999999999995,0.020999999999999994,11347.0,12415.0,1068.0,0.8490000000000001,0.779,-0.07000000000000006,
94404,15.42,15.73,0.3100000000000005,2231.0,3223.0,992.0,92989.0,114779.0,21790.0,1622.0,2001.0,379.0,0.040999999999999995,0.053,0.012000000000000004,31866.0,35045.0,3179.0,0.607,0.46299999999999997,-0.14400000000000002,
93921,15.41,15.41,0.0,1987.0,2696.0,709.0,53750.0,62230.0,8480.0,1125.0,1622.0,497.0,0.013000000000000001,0.021,0.008,2963.0,3164.0,201.0,0.943,0.879,-0.06399999999999995,
92651,15.41,15.93,0.5199999999999996,2745.0,3946.0,1201.0,76644.0,98697.0,22053.0,1093.0,1859.0,766.0,0.016,0.006999999999999999,-0.009000000000000001,25186.0,23668.0,-1518.0,0.9209999999999999,0.904,-0.016999999999999904,
91436,15.41,15.85,0.4399999999999995,3196.0,4001.0,805.0,102652.0,128060.0,25408.0,1260.0,2001.0,741.0,0.011000000000000001,0.025,0.014,13109.0,14563.0,1454.0,0.899,0.875,-0.02400000000000002,
91302,15.39,15.95,0.5599999999999987,3207.0,4001.0,794.0,93378.0,121715.0,28337.0,1222.0,1983.0,761.0,0.006,0.005,-0.001,23644.0,25165.0,1521.0,0.873,0.8290000000000001,-0.04399999999999993,
92782,15.39,15.68,0.28999999999999915,2117.0,3028.0,911.0,85977.0,102755.0,16778.0,1340.0,2001.0,661.0,0.009000000000000001,0.006999999999999999,-0.0020000000000000018,17485.0,22583.0,5098.0,0.669,0.521,-0.14800000000000002,
94610,15.36,16.03,0.6700000000000017,2086.0,3201.0,1115.0,49066.0,73850.0,24784.0,794.0,1263.0,469.0,0.17800000000000002,0.168,-0.010000000000000009,29963.0,29734.0,-229.0,0.5329999999999999,0.58,0.04700000000000004,
95032,15.35,15.88,0.5300000000000011,2669.0,3915.0,1246.0,93118.0,120893.0,27775.0,1370.0,1772.0,402.0,0.012,0.008,-0.004,24427.0,25898.0,1471.0,0.857,0.785,-0.07199999999999995,
94526,15.33,15.57,0.2400000000000002,2528.0,3452.0,924.0,109771.0,128802.0,19031.0,1560.0,2001.0,441.0,0.049,0.062,0.012999999999999998,32853.0,32274.0,-579.0,0.883,0.853,-0.030000000000000027,
