zip,Average Education Index 2000,Median Income 2000,Inflated Median Income 2000,Median Rent 2000,Inflated Median Rent 2000,Take Public Transp % in 2000,Total Population % in 2000,White Population % in 2000
95628,14.39,60383.0,84494.05,749.0,1551.8258071,0.019,40739.0,0.88
92886,14.38,82188.0,115005.82,1143.0,2306.0495312,0.005,39452.0,0.8440000000000001
94005,14.38,65658.0,91875.36,975.0,2073.7654158,0.055,3615.0,0.726
95758,14.37,68026.0,95188.91,972.0,2013.5954341,0.017,47063.0,0.5820000000000001
93402,14.37,46806.0,65495.72,817.0,1833.085489,0.013000000000000001,14842.0,0.883
95051,14.36,73147.0,102354.74,1293.0,2406.7992679999998,0.03,52972.0,0.551
95006,14.36,65206.0,91242.88,950.0,2006.5989246,0.01,10506.0,0.9129999999999999
91006,14.35,58779.0,82249.57,861.0,2128.3381899,0.023,30010.0,0.485
95005,14.35,64813.0,90692.95,967.0,1875.064546,0.03,6394.0,0.917
91107,14.34,56426.0,78957.01,791.0,1953.4254524,0.027000000000000003,32360.0,0.6409999999999999
95722,14.34,60868.0,85172.71,875.0,2136.7340013,0.011000000000000001,3728.0,0.956
94951,14.34,62528.0,87495.55,749.0,1800.9015453,0.033,3764.0,0.9209999999999999
90720,14.33,65715.0,91955.12,887.0,2238.88304,0.009000000000000001,21328.0,0.825
93110,14.33,52493.0,73453.55,940.0,2047.1786797,0.022000000000000002,15751.0,0.8270000000000001
93311,14.33,60700.0,84937.63,762.0,1917.043603,0.009000000000000001,20432.0,0.738
91320,14.32,77865.0,108956.64,1213.0,2683.8610442,0.006,37775.0,0.847
93111,14.32,68087.0,95274.27,1119.0,2655.8750062,0.013000000000000001,16470.0,0.8140000000000001
91214,14.32,64843.0,90734.93,915.0,2241.6816438,0.009000000000000001,29101.0,0.725
92691,14.32,75184.0,105205.11,1177.0,2668.4687233,0.009000000000000001,46370.0,0.836
93449,14.31,46521.0,65096.92,845.0,2187.1088697,0.004,8562.0,0.914
92646,14.31,69638.0,97444.59,1121.0,2521.5420238,0.006999999999999999,56501.0,0.831
90291,14.3,45769.0,64044.65,848.0,2404.0006642,0.057,31018.0,0.715
91316,14.29,49131.0,68749.1,867.0,2035.9842644999999,0.02,27595.0,0.831
92352,14.29,60829.0,85118.14,740.0,1361.5207487,0.013000000000000001,9792.0,0.904
92110,14.28,40642.0,56870.43,788.0,1911.4463954,0.04,24149.0,0.81
95008,14.27,68106.0,95300.86,1175.0,2138.1333032,0.02,44970.0,0.727
95010,14.27,46171.0,64607.17,963.0,2244.4802476,0.012,9657.0,0.851
95405,14.27,56945.0,79683.25,957.0,1924.0401125,0.013000000000000001,22247.0,0.884
91356,14.27,51420.0,71952.1,796.0,1743.5301674,0.042,27407.0,0.789
92029,14.27,63581.0,88969.01,826.0,1952.0261505,0.013999999999999999,17929.0,0.825
91902,14.27,70955.0,99287.47,957.0,2313.0460407,0.004,17379.0,0.693
92270,14.26,63349.0,88644.38,657.0,1814.8945643,0.008,12452.0,0.929
91307,14.26,74072.0,103649.09,1358.0,2800.0031019,0.015,23622.0,0.79
94510,14.25,65959.0,92296.55,892.0,1905.8491878,0.043,25573.0,0.7909999999999999
95073,14.25,57034.0,79807.78,1007.0,2001.0017169999999,0.019,9807.0,0.868
94403,14.24,67152.0,93965.92,1210.0,2599.9029302,0.048,37919.0,0.6829999999999999
94122,14.23,60733.0,84983.8,1071.0,2398.4034566,0.295,55492.0,0.47200000000000003
94702,14.23,39290.0,54978.57,685.0,1705.7490161,0.203,15629.0,0.446
92807,14.22,76381.0,106880.08,1199.0,2669.8680252,0.009000000000000001,36283.0,0.76
94945,14.22,65938.0,92267.17,1022.0,2324.2404559,0.06,16423.0,0.846
