zip,Average Education Index 2014,Median Income 2014,Median Rent 2014,Take Public Transp % in 2014,Total Population % in 2014,White Population % in 2014
92352,14.61,72479.0,973.0,0.006,6783.0,0.878
92110,14.78,60920.0,1366.0,0.034,28006.0,0.8
95008,14.72,88987.0,1528.0,0.032,45495.0,0.6990000000000001
95010,14.41,55833.0,1604.0,0.023,9367.0,0.843
95405,14.65,72156.0,1375.0,0.013999999999999999,21516.0,0.831
91356,14.6,69148.0,1246.0,0.052000000000000005,29847.0,0.752
92029,14.25,68108.0,1395.0,0.009000000000000001,19528.0,0.852
91902,14.28,88926.0,1653.0,0.011000000000000001,19504.0,0.7190000000000001
92270,14.77,71688.0,1297.0,0.008,17634.0,0.907
91307,14.75,98655.0,2001.0,0.028999999999999998,25597.0,0.716
94510,14.71,89500.0,1362.0,0.046,27515.0,0.731
95073,14.61,80133.0,1430.0,0.008,10849.0,0.841
94403,14.84,95189.0,1858.0,0.07200000000000001,40032.0,0.65
94122,14.77,86070.0,1714.0,0.3,58547.0,0.42700000000000005
94702,15.32,59628.0,1219.0,0.217,16868.0,0.557
92807,14.49,94697.0,1908.0,0.004,36323.0,0.762
94945,14.62,83638.0,1661.0,0.062,17973.0,0.769
91913,14.14,84741.0,1823.0,0.016,43655.0,0.525
90740,14.85,53677.0,1576.0,0.008,24288.0,0.8109999999999999
95959,14.66,58913.0,1126.0,0.025,17013.0,0.9009999999999999
95570,14.86,50500.0,927.0,0.022000000000000002,2083.0,0.8270000000000001
91007,14.54,72255.0,1392.0,0.037000000000000005,34198.0,0.297
95409,14.83,65425.0,1413.0,0.006999999999999999,25784.0,0.861
94947,14.48,81879.0,1645.0,0.04,25969.0,0.8270000000000001
95472,14.65,68804.0,1268.0,0.011000000000000001,29408.0,0.8759999999999999
91789,14.65,93509.0,1885.0,0.025,43369.0,0.263
95125,14.73,102479.0,1499.0,0.042,54696.0,0.669
93460,14.09,91737.0,1737.0,0.002,4944.0,0.862
95747,14.67,92678.0,1394.0,0.013999999999999999,56415.0,0.7829999999999999
94121,14.62,70220.0,1522.0,0.319,42043.0,0.462
95219,14.46,75309.0,1105.0,0.006999999999999999,28354.0,0.585
92211,14.49,57557.0,1239.0,0.018000000000000002,24564.0,0.8440000000000001
91741,14.62,81250.0,1549.0,0.02,25678.0,0.807
90808,14.58,96824.0,1427.0,0.018000000000000002,39834.0,0.73
94710,14.83,60952.0,1286.0,0.149,6439.0,0.618
95436,14.24,53368.0,1282.0,0.013999999999999999,5582.0,0.865
91360,14.32,91617.0,1811.0,0.012,44208.0,0.784
92008,14.59,66000.0,1508.0,0.034,26464.0,0.88
92506,14.46,78116.0,1201.0,0.016,45993.0,0.807
95672,14.82,92464.0,2001.0,0.004,5166.0,0.8240000000000001
95661,14.48,72459.0,1243.0,0.01,30559.0,0.838
91709,14.54,97609.0,1825.0,0.016,76187.0,0.507
91001,14.58,85655.0,1439.0,0.036000000000000004,37481.0,0.583
90623,14.38,83767.0,1508.0,0.006999999999999999,15767.0,0.42200000000000004
95521,14.7,32711.0,903.0,0.015,20769.0,0.8320000000000001
95663,14.43,124375.0,1278.0,0.008,2485.0,0.871
95131,14.64,108366.0,1868.0,0.016,29660.0,0.158
95130,14.75,98990.0,1380.0,0.015,14559.0,0.565
95124,14.76,106660.0,1578.0,0.016,48505.0,0.708
95139,14.6,98400.0,1654.0,0.048,6632.0,0.684
95926,14.42,37296.0,887.0,0.018000000000000002,38276.0,0.828
95946,14.4,62180.0,1505.0,0.005,10206.0,0.9159999999999999
92653,14.47,92806.0,1818.0,0.019,28853.0,0.6890000000000001
94602,14.58,68813.0,1159.0,0.152,29794.0,0.46
94547,14.46,100204.0,1554.0,0.10300000000000001,24622.0,0.271
94501,14.54,70935.0,1351.0,0.161,62571.0,0.503
95630,14.61,100308.0,1416.0,0.026000000000000002,73356.0,0.703
95608,14.36,55256.0,925.0,0.028999999999999998,60729.0,0.799
94901,14.09,76909.0,1424.0,0.11800000000000001,42027.0,0.6629999999999999
