,Take Public Transp % in 2000,zip
1137,0.4%,92130
1138,0.4%,92610
1139,0.4%,95669
1140,0.4%,95963
1141,0.4%,91901
1142,0.4%,91902
1143,0.4%,92887
1144,0.4%,93444
1145,0.4%,95540
1146,0.4%,95632
1147,0.4%,96097
1148,0.4%,92606
1149,0.4%,95428
1150,0.4%,95603
1151,0.4%,93433
1152,0.4%,95252
1153,0.4%,95348
1154,0.4%,95383
1155,0.4%,96006
1156,0.4%,92585
1157,0.4%,93243
1158,0.4%,93555
1159,0.3%,91108
1160,0.3%,92233
1161,0.3%,92620
1162,0.3%,93203
1163,0.3%,93611
1164,0.3%,95363
1165,0.3%,95388
1166,0.3%,95451
1167,0.3%,93241
1168,0.3%,95949
1169,0.3%,92310
1170,0.3%,92584
1171,0.3%,93250
1172,0.3%,95326
1173,0.3%,95242
1174,0.3%,95382
1175,0.3%,96052
1176,0.3%,90290
1177,0.3%,92082
1178,0.3%,92567
1179,0.3%,93312
1180,0.3%,95360
1181,0.3%,95457
1182,0.3%,96161
1183,0.3%,93513
1184,0.3%,91020
1185,0.3%,94535
1186,0.3%,95626
1187,0.3%,91935
1188,0.3%,93610
1189,0.3%,93644
1190,0.3%,93907
1191,0.3%,92225
1192,0.3%,93263
1193,0.3%,93465
1194,0.3%,93523
1195,0.3%,93923
1196,0.3%,95966
1197,0.2%,93630
1198,0.2%,93654
1199,0.2%,93930
1200,0.2%,95033
1201,0.2%,95524
1202,0.2%,95713
1203,0.2%,92595
1204,0.2%,93247
1205,0.2%,95685
1206,0.2%,92061
1207,0.2%,92371
1208,0.2%,93223
1209,0.2%,95565
1210,0.2%,92845
1211,0.2%,93635
1212,0.2%,93720
1213,0.2%,96145
1214,0.2%,95454
1215,0.2%,95988
1216,0.2%,93561
1217,0.2%,93286
1218,0.2%,93662
1219,0.2%,92592
1220,0.2%,95490
1221,0.2%,95694
1222,0.2%,92562
1223,0.2%,93420
1224,0.1%,93908
1225,0.1%,94515
1226,0.1%,95320
1227,0.1%,95470
1228,0.1%,92342
1229,0.1%,93451
1230,0.1%,93614
1231,0.1%,95746
1232,0.1%,96022
1233,0.1%,93656
