,white_pop_2014,zip
1310,58.3%,91325
1311,58.3%,91401
1312,58.3%,94040
1313,58.3%,91001
1314,58.3%,95825
1315,58.3%,94127
1316,58.3%,95348
1317,58.2%,91606
1318,58.2%,92233
1319,58.0%,94610
1320,57.9%,90630
1321,57.9%,91739
1322,57.9%,94306
1323,57.8%,92225
1324,57.7%,93650
1325,57.7%,94118
1326,57.7%,91345
1327,57.7%,90505
1328,57.7%,91761
1329,57.6%,92123
1330,57.5%,91752
1331,57.5%,91724
1332,57.4%,91744
1333,57.4%,92614
1334,57.4%,94111
1335,57.4%,95315
1336,57.3%,95128
1337,57.3%,95203
1338,57.3%,91710
1339,57.2%,91326
1340,57.1%,92301
1341,57.1%,95652
1342,57.0%,90605
1343,57.0%,94530
1344,57.0%,94104
1345,56.7%,92129
1346,56.7%,94509
1347,56.6%,92127
1348,56.6%,93204
1349,56.5%,95130
1350,56.5%,90638
1351,56.5%,93955
1352,56.4%,93202
1353,56.4%,94105
1354,56.4%,92258
1355,56.2%,95388
1356,55.9%,90039
1357,55.8%,90802
1358,55.7%,94702
