,Average Education Index 2014,zip
983,13.24,96091
984,13.24,91351
985,13.23,92555
986,13.22,92866
987,13.22,96047
988,13.22,93554
989,13.22,96059
990,13.22,90013
991,13.22,95133
992,13.22,95607
993,13.21,93101
994,13.21,96109
995,13.20,92026
996,13.20,93669
997,13.20,92336
998,13.20,95257
999,13.20,95947
1000,13.19,92252
1001,13.19,95993
1002,13.19,96064
1003,13.19,95954
1004,13.18,95694
1005,13.18,90631
1006,13.18,95451
1007,13.18,95934
1008,13.18,95112
1009,13.18,95619
1010,13.17,95717
1011,13.17,95361
1012,13.17,95674
1013,13.16,95441
1014,13.16,92328
1015,13.16,90621
1016,13.16,93433
1017,13.16,95601
1018,13.15,95540
1019,13.15,96048
1020,13.15,96065
1021,13.15,95776
1022,13.15,95251
1023,13.15,92780
1024,13.14,96108
1025,13.14,96133
1026,13.14,95449
1027,13.14,93553
1028,13.14,95046
1029,13.14,94014
1030,13.14,92054
1031,13.13,93205
1032,13.13,96044
1033,13.13,91910
1034,13.13,92058
1035,13.13,95466
1036,13.13,92868
1037,13.12,96009
1038,13.12,95425
1039,13.12,95625
1040,13.12,96076
1041,13.12,92882
1042,13.12,96028
1043,13.11,92277
1044,13.11,96097
1045,13.11,95692
1046,13.11,91384
1047,13.10,95490
1048,13.10,91803
1049,13.10,96101
1050,13.10,92139
1051,13.10,95375
1052,13.09,96090
1053,13.09,93245
1054,13.09,95020
1055,13.09,90026
1056,13.09,92256
1057,13.08,96122
1058,13.08,91411
1059,13.07,90043
1060,13.07,96118
1061,13.07,94569
1062,13.07,93631
1063,13.07,90710
1064,13.06,95943
1065,13.06,95841
1066,13.06,94108
1067,13.06,91103
1068,13.06,95248
1069,13.06,95482
1070,13.05,95542
1071,13.05,92320
1072,13.05,94590
1073,13.05,95346
1074,13.05,93563
1075,13.05,96080
1076,13.05,91010
1077,13.04,96052
1078,13.04,90715
1079,13.04,95329
1080,13.04,92344
1081,13.04,95565
1082,13.03,93901
1083,13.03,95232
1084,13.03,95930
1085,13.02,91980
1086,13.02,96016
1087,13.02,92595
1088,13.02,92020
1089,13.01,95715
1090,13.01,95925
1091,13.01,92314
1092,13.01,96068
1093,13.01,96143
1094,13.00,93561
