,public_transportation_2014,zip
1007,0.9%,95320
1008,0.9%,95327
1009,0.9%,95603
1010,0.9%,95678
1011,0.9%,92029
1012,0.9%,95317
1013,0.9%,95694
1014,0.9%,90402
1015,0.9%,92040
1016,0.9%,92227
1017,0.9%,93505
1018,0.9%,95070
1019,0.9%,95223
1020,0.8%,92223
1021,0.8%,91214
1022,0.8%,92270
1023,0.8%,93023
1024,0.8%,95366
1025,0.8%,95519
1026,0.8%,92203
1027,0.8%,92356
1028,0.8%,92394
1029,0.8%,92614
1030,0.8%,92274
1031,0.8%,95441
1032,0.8%,95620
1033,0.8%,92130
1034,0.8%,92131
1035,0.8%,93444
1036,0.8%,95358
1037,0.8%,95961
1038,0.8%,90056
1039,0.8%,91978
1040,0.8%,94037
1041,0.8%,95492
1042,0.8%,95663
1043,0.8%,91364
1044,0.8%,94599
1045,0.8%,95017
1046,0.8%,95032
1047,0.8%,95045
1048,0.8%,95328
1049,0.8%,90740
1050,0.8%,92625
1051,0.8%,93301
1052,0.8%,93420
1053,0.8%,95023
1054,0.8%,95204
1055,0.8%,93108
1056,0.8%,95073
1057,0.8%,95667
1058,0.8%,95688
1059,0.8%,95973
1060,0.7%,95709
1061,0.7%,92620
1062,0.7%,92651
1063,0.7%,95215
1064,0.7%,92382
1065,0.7%,95005
1066,0.7%,95470
1067,0.7%,92782
1068,0.7%,93609
1069,0.7%,95212
1070,0.7%,91361
1071,0.7%,92544
1072,0.7%,93240
1073,0.7%,95631
1074,0.7%,90623
1075,0.7%,91301
1076,0.7%,93241
1077,0.7%,95467
1078,0.7%,94060
1079,0.7%,95219
1080,0.7%,92313
1081,0.7%,95380
1082,0.7%,96055
1083,0.7%,92082
1084,0.7%,95409
1085,0.7%,95692
1086,0.6%,93730
1087,0.6%,95053
1088,0.6%,90210
1089,0.6%,93230
1090,0.6%,94508
1091,0.6%,95765
1092,0.6%,96002
1093,0.6%,92545
1094,0.6%,92630
1095,0.6%,93514
1096,0.6%,93560
1097,0.6%,95361
1098,0.6%,95369
1099,0.6%,95043
1100,0.6%,93257
1101,0.6%,93612
1102,0.6%,93725
1103,0.6%,96052
1104,0.6%,91901
1105,0.6%,92392
1106,0.6%,95635
1107,0.6%,96022
1108,0.6%,92028
1109,0.6%,92253
1110,0.6%,93274
1111,0.6%,93591
1112,0.6%,95240
1113,0.6%,92055
1114,0.6%,95640
1115,0.6%,91011
1116,0.6%,93215
1117,0.6%,93720
1118,0.6%,95451
1119,0.6%,92352
1120,0.6%,92603
1121,0.6%,95421
1122,0.6%,95626
1123,0.6%,95632
1124,0.5%,92595
1125,0.5%,93263
1126,0.5%,95242
1127,0.5%,95946
1128,0.5%,92377
1129,0.5%,91915
1130,0.5%,93250
1131,0.5%,93286
1132,0.5%,95340
1133,0.5%,91737
1134,0.5%,95301
1135,0.5%,95303
1136,0.5%,92284
1137,0.5%,96019
1138,0.5%,91302
1139,0.5%,91362
1140,0.5%,93066
1141,0.5%,93210
1142,0.5%,93247
1143,0.5%,90265
1144,0.5%,92210
1145,0.5%,92277
1146,0.5%,92532
1147,0.5%,95367
1148,0.5%,92591
1149,0.5%,93930
1150,0.4%,92610
1151,0.4%,93272
1152,0.4%,95672
1153,0.4%,92128
1154,0.4%,92646
1155,0.4%,93311
1156,0.4%,93950
1157,0.4%,95006
1158,0.4%,95420
1159,0.4%,92315
1160,0.4%,93252
1161,0.4%,93510
1162,0.4%,93610
1163,0.4%,93926
1164,0.4%,95370
1165,0.4%,92067
1166,0.4%,93022
1167,0.4%,94503
1168,0.4%,95482
1169,0.4%,92592
1170,0.4%,93312
1171,0.4%,93314
1172,0.4%,95642
1173,0.4%,96103
