,house_median_value_2000,zip
860,"$169,000",96150
861,"$168,800",95321
862,"$168,700",90201
863,"$168,500",93446
864,"$168,500",95689
865,"$168,300",93271
866,"$168,000",91303
867,"$168,000",95945
868,"$167,400",90302
869,"$167,400",91342
870,"$166,900",90606
871,"$166,800",93445
872,"$166,800",95977
873,"$166,700",90660
874,"$166,700",95488
875,"$166,300",91948
876,"$166,100",91977
877,"$166,000",95669
878,"$165,900",92703
879,"$165,700",94533
880,"$165,600",93551
881,"$165,500",92354
882,"$165,400",93041
883,"$165,300",91945
884,"$165,300",94606
885,"$165,300",95758
886,"$165,000",95242
887,"$164,800",90255
888,"$164,500",92321
889,"$164,300",94571
890,"$164,300",95482
891,"$163,900",95223
892,"$163,300",95246
893,"$163,200",93926
894,"$163,100",93644
895,"$163,100",95222
896,"$163,100",95383
897,"$162,900",95633
898,"$162,600",92154
899,"$162,500",95364
900,"$162,500",95417
901,"$162,500",95545
902,"$162,500",96108
903,"$162,000",95536
904,"$161,900",96008
905,"$161,800",90680
906,"$161,800",95420
907,"$161,700",93905
908,"$161,500",90016
909,"$161,500",90280
910,"$161,400",91352
911,"$161,300",92173
912,"$161,100",94565
913,"$161,100",95389
914,"$161,100",95678
915,"$161,000",90650
916,"$161,000",91963
917,"$161,000",94804
918,"$160,900",95962
919,"$160,600",90018
920,"$160,600",91731
921,"$160,500",94589
922,"$160,400",90744
923,"$160,400",92584
924,"$160,400",93453
925,"$160,400",93720
926,"$160,000",90013
927,"$159,700",94806
928,"$159,600",93601
929,"$159,500",90012
930,"$159,400",95251
931,"$159,300",90042
932,"$158,900",90022
933,"$158,900",90301
934,"$158,900",90304
935,"$158,900",95345
936,"$158,700",95662
937,"$158,600",94607
938,"$158,200",92139
939,"$158,200",92397
940,"$157,900",95237
941,"$157,600",91733
942,"$157,600",96067
943,"$157,400",96096
944,"$157,400",96107
945,"$157,300",94608
946,"$157,300",95320
947,"$157,200",90023
948,"$157,200",91761
949,"$157,000",92595
950,"$157,000",95690
951,"$156,800",91732
952,"$156,700",92567
953,"$156,700",93531
954,"$156,300",92060
955,"$156,200",90040
956,"$156,100",90270
957,"$155,700",90031
958,"$155,700",93243
959,"$155,700",95776
960,"$155,600",93960
961,"$155,400",93287
962,"$155,200",95642
963,"$155,000",93667
964,"$155,000",95356
965,"$155,000",95511
966,"$155,000",95829
967,"$154,800",91752
968,"$154,800",93614
969,"$154,700",95695
970,"$154,300",90723
971,"$154,300",95821
972,"$154,200",95944
973,"$154,100",92555
974,"$154,000",95336
975,"$153,900",95227
976,"$153,600",90047
977,"$153,500",96125
978,"$153,400",95726
979,"$153,200",91746
980,"$153,200",93611
981,"$153,100",93624
982,"$153,000",95694
983,"$152,800",95370
984,"$152,500",92536
985,"$152,500",94601
986,"$152,400",93544
987,"$151,800",93436
988,"$151,800",95659
989,"$151,600",91980
990,"$151,300",90032
991,"$151,000",95252
992,"$150,800",90033
993,"$150,600",95330
994,"$150,500",91402
995,"$150,500",96024
996,"$150,300",95648
