,total_pop_2000,zip
1111,3844,92003
1112,3803,95672
1113,3764,94951
1114,3746,96093
1115,3744,92539
1116,3740,96055
1117,3728,95722
1118,3696,90704
1119,3677,95423
1120,3663,95321
1121,3658,95614
1122,3656,92283
1123,3631,94508
1124,3624,90058
1125,3615,94005
1126,3589,95692
1127,3583,92549
1128,3557,92036
1129,3528,92249
1130,3527,93265
1131,3519,95938
1132,3518,90014
1133,3485,92256
1134,3455,93602
1135,3401,95045
1136,3368,95004
1137,3360,93643
1138,3351,96035
1139,3335,94111
1140,3267,95562
1141,3257,93650
1142,3255,95333
1143,3212,93430
1144,3190,95237
1145,3184,94525
1146,3176,95982
1147,3154,95917
1148,3138,93675
1149,3135,95236
1150,3122,91906
1151,3120,92662
1152,3089,96114
1153,3061,92590
1154,3061,94038
1155,3040,95546
1156,3003,90021
1157,2990,95458
1158,2963,93921
1159,2954,95536
1160,2951,95684
1161,2946,93066
1162,2945,93261
1163,2931,93272
1164,2895,92365
1165,2880,93242
1166,2870,94599
1167,2862,93202
1168,2856,92004
1169,2760,93532
1170,2754,92602
1171,2753,95627
1172,2734,92257
1173,2730,92203
1174,2714,95245
1175,2709,95634
1176,2702,95454
1177,2678,93453
1178,2664,93451
1179,2645,96020
1180,2633,95457
1181,2627,93667
1182,2624,95228
1183,2607,92061
1184,2601,91914
1185,2593,96025
1186,2586,96134
1187,2524,90067
1188,2518,95633
1189,2510,93285
1190,2505,96041
1191,2501,93249
1192,2425,92536
1193,2403,95542
1194,2374,92281
1195,2362,94511
1196,2352,95570
1197,2348,92230
1198,2334,95485
1199,2332,94037
1200,2332,95441
1201,2329,96032
1202,2324,95690
1203,2313,93271
1204,2285,95428
1205,2256,95311
1206,2231,93516
1207,2228,94129
1208,2223,95460
1209,2219,95464
1210,2214,95669
1211,2196,93527
1212,2190,95255
1213,2181,92285
1214,2147,96027
1215,2134,92317
1216,2128,95002
1217,2126,95310
1218,2114,95328
1219,2076,93206
1220,2060,95947
1221,2058,94105
1222,2042,94060
1223,2035,95663
1224,2004,95641
1225,2003,95567
1226,1988,93562
1227,1957,93601
1228,1957,93616
1229,1951,93205
1230,1943,90010
1231,1943,95374
1232,1928,96140
1233,1922,95951
1234,1920,93283
1235,1915,92347
1236,1912,95445
1237,1901,96028
1238,1890,93545
1239,1883,95469
1240,1878,95465
1241,1874,94956
1242,1871,93238
1243,1847,93624
1244,1839,92676
1245,1837,96052
1246,1837,96103
1247,1831,95560
1248,1820,92059
1249,1816,92386
1250,1816,93513
1251,1802,96118
1252,1793,93239
1253,1776,95645
1254,1769,94923
1255,1768,92401
1256,1746,93608
1257,1740,95389
1258,1736,95329
1259,1728,95638
1260,1721,93266
1261,1704,94304
1262,1683,95524
1263,1672,95246
1264,1660,95573
1265,1648,95452
1266,1617,92273
1267,1610,94020
1268,1600,93553
1269,1598,91962
1270,1595,95975
1271,1589,95426
1272,1582,96057
1273,1575,91916
1274,1569,95421
1275,1569,95525
1276,1560,94924
1277,1546,96056
1278,1545,92242
1279,1524,95462
1280,1520,93222
1281,1518,95372
1282,1512,95703
1283,1512,95962
1284,1501,95313
1285,1496,91905
1286,1495,92561
1287,1467,95686
1288,1467,95918
1289,1453,94130
1290,1449,93040
1291,1437,95551
1292,1436,95943
1293,1435,93531
1294,1434,94973
1295,1404,92823
1296,1401,95612
1297,1370,95415
1298,1359,95449
1299,1350,95942
1300,1348,93426
1301,1346,95468
1302,1318,96107
1303,1309,93651
1304,1308,93440
1305,1301,93441
1306,1282,96142
1307,1277,96039
1308,1276,95916
1309,1264,95689
1310,1261,95346
1311,1254,93461
1312,1241,95968
1313,1230,95919
1314,1229,93243
1315,1228,96051
1316,1216,95681
1317,1205,95548
1318,1201,93544
1319,1196,95547
1320,1193,93432
1321,1191,92398
1322,1185,92086
1323,1164,96109
1324,1156,95664
1325,1153,95369
1326,1151,96023
1327,1141,92070
1328,1137,95955
1329,1136,95635
1330,1135,93925
1331,1119,93626
1332,1117,95565
1333,1114,93668
1334,1098,95466
1335,1097,90742
1336,1077,92358
1337,1068,95528
1338,1061,92091
1339,1052,95323
1340,1048,93201
1341,1035,95410
1342,1019,94933
1343,1018,96044
1344,1009,93518
1345,1000,95007
1346,996,93920
1347,995,94937
1348,990,92518
1349,984,95306
1350,971,93653
1351,962,92239
1352,948,96120
1353,945,95977
1354,943,92339
1355,940,96024
1356,929,95674
1357,928,96113
1358,926,96146
1359,914,95655
1360,907,96047
1361,899,91963
1362,897,95387
1363,895,92368
1364,894,96008
1365,892,95668
1366,891,95039
1367,885,92309
1368,877,95456
1369,857,95553
1370,850,95017
1371,849,96104
1372,840,96141
1373,834,95835
1374,832,95629
1375,826,95979
1376,824,95653
1377,824,96096
1378,820,96069
1379,817,93517
1380,813,94938
1381,812,93218
1382,811,96058
1383,810,96062
1384,806,95043
1385,804,92282
1386,798,95303
1387,797,93424
1388,796,92275
1389,795,95317
1390,794,93447
1391,793,93254
1392,788,93606
1393,782,91931
1394,773,94586
1395,772,94970
1396,756,95957
1397,751,95497
1398,750,95659
1399,737,95589
1400,732,95701
1401,729,95412
1402,729,96091
1403,725,96048
1404,723,93526
1405,717,92258
1406,717,95227
1407,708,91917
1408,695,91934
1409,695,95615
1410,685,95526
1411,674,95335
1412,669,96148
1413,664,95221
1414,662,93450
1415,658,92327
1416,653,93255
1417,647,95563
1418,647,95636
1419,643,95618
1420,637,93664
1421,631,93673
1422,631,96105
1423,630,95554
1424,613,95922
1425,612,93529
1426,610,95914
1427,608,93224
1428,604,93604
1429,600,96038
1430,599,96006
1431,598,95935
1432,589,94946
1433,589,95230
1434,586,95939
1435,586,96059
1436,585,95459
1437,580,95830
1438,579,96009
1439,575,95318
1440,571,94922
1441,569,95556
1442,561,93067
1443,559,93641
1444,554,95960
1445,543,95113
1446,528,94963
1447,527,93932
1448,524,96087
1449,516,95950
1450,514,95543
1451,507,93954
1452,498,95983
1453,490,93621
1454,489,95970
1455,488,93541
1456,488,94567
1457,487,95555
1458,483,95651
1459,478,96121
1460,470,93452
1461,467,95527
1462,467,96050
1463,462,95439
1464,454,92259
1465,444,95941
1466,442,92328
1467,442,96084
1468,440,95251
1469,439,92321
1470,435,96092
1471,431,95345
1472,425,95419
1473,424,95450
1474,422,90822
1475,417,96065
1476,417,96075
1477,415,95257
1478,409,92333
1479,406,93563
1480,405,95717
1481,403,96015
1482,398,93962
1483,394,94940
1484,392,96040
1485,391,95936
1486,390,96090
1487,389,95564
1488,388,96128
1489,386,95569
1490,376,96117
1491,375,95444
1492,375,95606
1493,374,94104
1494,373,96034
1495,371,94971
1496,368,95427
1497,367,95676
1498,367,96054
1499,366,95432
1500,361,96033
1501,355,95431
1502,352,95675
1503,349,92694
1504,341,92268
1505,338,92066
1506,333,95714
1507,331,93512
1508,331,93665
1509,328,96125
1510,326,96016
1511,324,96086
1512,320,96124
1513,319,94929
1514,317,95420
1515,317,95494
1516,316,95233
1517,310,93669
1518,305,92341
1519,303,95585
1520,301,93549
1521,299,95488
1522,296,93251
1523,296,95471
1524,294,95742
1525,291,95558
1526,291,95920
1527,290,95956
1528,289,92305
1529,287,92266
1530,287,93666
1531,287,94074
1532,287,95254
1533,286,96014
1534,280,93226
1535,277,95930
1536,275,96037
1537,274,93244
1538,262,95385
1539,260,93603
1540,260,96011
1541,259,96074
1542,258,93605
1543,257,95552
1544,257,96116
1545,256,95571
1546,255,95607
1547,254,95837
1548,253,95595
1549,253,96010
1550,250,93928
1551,248,96046
1552,247,93260
1553,245,93652
1554,245,94950
1555,245,95511
1556,244,95549
1557,243,95925
1558,232,95364
1559,229,93276
1560,227,95493
1561,226,95637
1562,225,92060
1563,222,96017
1564,220,92318
1565,220,96068
1566,218,94576
1567,214,96112
1568,213,95537
1569,212,95639
1570,210,93207
1571,209,95913
1572,207,96126
1573,206,95601
1574,206,96076
1575,198,93528
1576,198,95514
1577,197,95568
1578,195,93429
1579,193,95587
1580,186,93208
1581,180,95715
1582,175,95430
1583,172,93645
1584,172,95934
1585,170,90743
1586,170,95502
1587,169,96071
1588,168,94569
1589,168,96031
1590,167,95720
1591,166,95417
1592,159,95443
1593,158,92364
1594,153,95625
1595,150,95559
1596,149,94592
1597,149,95305
1598,149,96136
1599,148,93627
1600,147,95550
1601,142,95463
1602,140,95986
1603,130,94512
1604,130,95972
1605,128,94021
1606,123,95646
1607,122,96115
1608,116,96110
1609,114,95325
1610,113,92267
1611,111,92332
1612,109,96063
1613,106,95910
1614,105,93554
1615,104,95224
1616,99,92389
1617,99,96133
1618,98,95481
1619,98,95981
1620,92,93628
1621,91,95424
1622,91,96108
1623,87,91980
1624,79,91948
1625,78,95429
1626,78,96106
1627,77,96061
1628,76,95041
1629,76,95728
1630,73,95545
1631,70,92384
1632,70,96029
1633,70,96119
1634,69,95944
1635,68,93287
1636,68,96085
1637,67,95923
1638,66,93530
1639,65,95984
1640,63,93623
1641,61,93282
1642,61,96132
1643,60,94972
1644,60,95721
1645,59,93522
1646,56,95974
1647,55,95226
1648,47,92280
1649,46,93634
1650,44,96123
1651,43,95312
1652,42,95613
1653,38,93262
1654,35,91759
1655,35,95140
1656,29,95736
1657,27,95480
1658,23,92304
1659,21,92323
1660,17,93435
1661,17,95232
1662,16,95978
1663,14,95225
1664,14,95735
1665,10,92338
1666,6,90071
1667,4,95937
1668,3,91743
1669,2,90263
1670,2,95836
