zip,Average Education Index 2000,Average Education Index 2014,Index Change,Take Public Transp % in 2000,Take Public Transp % in 2014,Change in Public Transp %,Total Population in 2000,Total Population in 2014,% Change in Total Population,White Population % in 2000,White Population % in 2014,% Change in White Population %,Outcome
91301,14.99,15.13,0.14000000000000057,0.006999999999999999,0.006999999999999999,0.0,25302.0,26439.0,0.045,0.87,0.848,-0.025,
94930,14.98,15.62,0.6399999999999988,0.081,0.061,-0.020000000000000004,8476.0,8756.0,0.033,0.915,0.895,-0.022,
94111,14.98,15.11,0.129999999999999,0.162,0.16399999999999998,0.001999999999999974,3335.0,3477.0,0.043,0.644,0.574,-0.109,
92610,14.98,15.5,0.5199999999999996,0.004,0.004,0.0,10934.0,11799.0,0.079,0.744,0.705,-0.052,
90069,14.98,15.46,0.4800000000000004,0.023,0.031,0.008,20395.0,20426.0,0.002,0.873,0.783,-0.103,
94552,14.97,15.18,0.20999999999999908,0.07400000000000001,0.124,0.04999999999999999,13202.0,15209.0,0.152,0.578,0.465,-0.196,
91403,14.96,15.47,0.5099999999999998,0.026000000000000002,0.03,0.003999999999999997,22079.0,24353.0,0.103,0.82,0.812,-0.01,
94070,14.96,15.66,0.6999999999999993,0.037000000000000005,0.049,0.011999999999999997,28079.0,29879.0,0.064,0.848,0.792,-0.066,
92129,14.95,15.27,0.3200000000000003,0.013000000000000001,0.017,0.004,47217.0,54664.0,0.158,0.627,0.567,-0.096,
94588,14.94,15.47,0.5300000000000011,0.05,0.085,0.035,28557.0,31910.0,0.117,0.764,0.594,-0.223,
92109,14.94,15.49,0.5500000000000007,0.025,0.025,0.0,46071.0,45304.0,-0.017,0.874,0.917,0.049,
93109,14.93,15.69,0.7599999999999998,0.033,0.015,-0.018000000000000002,10966.0,11031.0,0.006,0.854,0.861,0.008,
94107,14.93,15.86,0.9299999999999997,0.188,0.262,0.07400000000000001,17368.0,27792.0,0.6,0.624,0.592,-0.051,
94402,14.93,15.45,0.5199999999999996,0.062,0.065,0.0030000000000000027,23373.0,24306.0,0.04,0.745,0.704,-0.055,
92108,14.93,15.28,0.34999999999999964,0.027000000000000003,0.051,0.023999999999999994,11640.0,19245.0,0.653,0.751,0.69,-0.081,
92604,14.92,15.22,0.3000000000000007,0.01,0.024,0.014,27359.0,28425.0,0.039,0.678,0.601,-0.114,
92106,14.92,15.21,0.2900000000000009,0.009000000000000001,0.022000000000000002,0.013000000000000001,18505.0,19539.0,0.056,0.895,0.85,-0.05,
95318,14.91,15.23,0.3200000000000003,0.057,0.045,-0.012000000000000004,575.0,601.0,0.045,0.882,0.9,0.02,
95765,14.91,14.85,-0.0600000000000005,0.006,0.006,0.0,15476.0,36391.0,1.351,0.866,0.783,-0.096,
94595,14.91,15.51,0.5999999999999996,0.092,0.11800000000000001,0.02600000000000001,18019.0,16837.0,-0.066,0.926,0.841,-0.092,
95864,14.9,15.42,0.5199999999999996,0.017,0.015,-0.0020000000000000018,23355.0,22698.0,-0.028,0.873,0.797,-0.087,
92677,14.9,15.23,0.33000000000000007,0.009000000000000001,0.012,0.002999999999999999,62099.0,64642.0,0.041,0.835,0.773,-0.074,
90025,14.89,15.44,0.5499999999999989,0.07200000000000001,0.106,0.03399999999999999,41170.0,45284.0,0.1,0.661,0.624,-0.056,
95819,14.89,15.7,0.8099999999999987,0.039,0.046,0.006999999999999999,15964.0,18374.0,0.151,0.88,0.857,-0.026,
92103,14.89,15.49,0.5999999999999996,0.046,0.037000000000000005,-0.008999999999999994,30186.0,31927.0,0.058,0.855,0.853,-0.002,
90064,14.88,15.68,0.7999999999999989,0.052000000000000005,0.045,-0.007000000000000006,24489.0,25788.0,0.053,0.723,0.712,-0.015,
92124,14.88,14.98,0.09999999999999964,0.01,0.01,0.0,30187.0,30196.0,0.0,0.707,0.719,0.017,
90211,14.88,15.3,0.41999999999999993,0.034,0.033,-0.0010000000000000009,8313.0,8080.0,-0.028,0.829,0.819,-0.012,
94043,14.88,15.52,0.6399999999999988,0.034,0.047,0.012999999999999998,27821.0,29280.0,0.052,0.608,0.613,0.008,
92656,14.87,15.18,0.3100000000000005,0.011000000000000001,0.01,-0.0010000000000000009,41222.0,51370.0,0.246,0.776,0.695,-0.104,
95003,14.87,15.09,0.22000000000000064,0.015,0.013999999999999999,-0.0010000000000000009,24225.0,24383.0,0.007,0.896,0.898,0.002,
92808,14.87,15.42,0.5500000000000007,0.01,0.004,-0.006,19612.0,20137.0,0.027,0.687,0.693,0.009,
91208,14.86,14.98,0.120000000000001,0.009000000000000001,0.016,0.006999999999999999,16909.0,16548.0,-0.021,0.729,0.765,0.049,
91106,14.84,15.21,0.370000000000001,0.046,0.053,0.006999999999999999,23725.0,24861.0,0.048,0.566,0.605,0.069,
94041,14.83,15.46,0.6300000000000008,0.033,0.069,0.036000000000000004,13471.0,13551.0,0.006,0.653,0.665,0.018,
94118,14.82,15.37,0.5499999999999989,0.315,0.33299999999999996,0.01799999999999996,38939.0,40102.0,0.03,0.567,0.577,0.018,
95135,14.82,15.44,0.6199999999999992,0.013999999999999999,0.009000000000000001,-0.0049999999999999975,15791.0,21349.0,0.352,0.535,0.395,-0.262,
92007,14.82,15.31,0.4900000000000002,0.026000000000000002,0.011000000000000001,-0.015000000000000001,10366.0,11782.0,0.137,0.863,0.9,0.043,
91362,14.81,15.15,0.33999999999999986,0.008,0.005,-0.003,33039.0,35564.0,0.076,0.855,0.806,-0.057,
92518,14.81,14.09,-0.7200000000000006,0.04,0.065,0.025,990.0,1129.0,0.14,0.864,0.807,-0.066,
91326,14.81,15.01,0.1999999999999993,0.018000000000000002,0.022000000000000002,0.004,28049.0,36024.0,0.284,0.651,0.572,-0.121,
92024,14.8,15.18,0.379999999999999,0.03,0.017,-0.012999999999999998,47113.0,49226.0,0.045,0.866,0.888,0.025,
95452,14.79,14.58,-0.20999999999999908,0.024,0.10400000000000001,0.08000000000000002,1648.0,1314.0,-0.203,0.93,0.933,0.003,
93105,14.78,15.29,0.5099999999999998,0.023,0.031,0.008,25756.0,24967.0,-0.031,0.873,0.851,-0.025,
94517,14.77,14.89,0.120000000000001,0.084,0.081,-0.0030000000000000027,14223.0,12781.0,-0.101,0.874,0.847,-0.031,
91354,14.77,15.04,0.2699999999999996,0.024,0.027000000000000003,0.0030000000000000027,17841.0,29034.0,0.627,0.827,0.695,-0.16,
91914,14.77,14.66,-0.10999999999999943,0.017,0.013999999999999999,-0.0030000000000000027,2601.0,16926.0,5.507,0.596,0.526,-0.117,
93720,14.75,14.57,-0.17999999999999972,0.002,0.006,0.004,45075.0,46153.0,0.024,0.783,0.717,-0.084,
90067,14.75,15.23,0.4800000000000004,0.019,0.021,0.0020000000000000018,2524.0,2364.0,-0.063,0.862,0.83,-0.037,
92373,14.75,15.0,0.25,0.011000000000000001,0.012,0.0009999999999999992,31228.0,34017.0,0.089,0.807,0.761,-0.057,
91784,14.75,14.65,-0.09999999999999964,0.017,0.019,0.0019999999999999983,23312.0,26034.0,0.117,0.789,0.756,-0.042,
91381,14.75,14.99,0.2400000000000002,0.01,0.02,0.01,9919.0,20296.0,1.046,0.731,0.668,-0.086,
95138,14.73,15.13,0.40000000000000036,0.017,0.027999999999999997,0.010999999999999996,14785.0,19136.0,0.294,0.523,0.428,-0.182,
92692,14.73,15.0,0.2699999999999996,0.011000000000000001,0.009000000000000001,-0.002,46210.0,48967.0,0.06,0.828,0.815,-0.016,
91423,14.73,15.24,0.5099999999999998,0.02,0.03,0.009999999999999998,29370.0,32130.0,0.094,0.825,0.815,-0.012,
