zip,Median_Income_2000,Median_Income_2014,Median_Rent_2000,Median_Rent_2014,Total_Pop_2000,Total_Pop_2014,White_Pop_2000,White_Pop_2014,Outcome
94086,"$71,056","$100,215","$1,278","$1,648",63997,47051,47.7%,48.4%,
93924,"$71,053","$92,137",$842,"$1,779",6677,5967,92.5%,91.1%,
92881,"$70,992","$94,196",$810,"$1,574",21903,32817,69.4%,71.3%,
91902,"$70,955","$88,926",$957,"$1,653",17379,19504,69.3%,71.9%,
92649,"$70,779","$86,469","$1,004","$1,678",32292,32976,85.2%,77.7%,
94903,"$70,758","$86,196","$1,217","$1,726",28401,30110,84.6%,77.8%,
92121,"$70,750","$103,598","$1,114","$1,749",4248,4832,66.7%,48.2%,
91739,"$70,461","$100,049",$965,"$1,656",12925,38009,69.3%,57.9%,
92321,"$70,455","$64,612",$800,"$1,387",439,1244,93.4%,85.1%,
94536,"$70,026","$92,107","$1,149","$1,550",66533,70696,56.2%,38.1%,
93012,"$69,939","$93,523","$1,164","$1,837",24928,35366,86.3%,77.4%,
91765,"$69,848","$90,966","$1,007","$1,811",46520,47562,41.8%,34.0%,
92708,"$69,710","$82,005","$1,060","$1,615",54530,57441,64.2%,53.5%,
95672,"$69,662","$92,464",$938,"$2,001",3803,5166,92.2%,82.4%,
92646,"$69,638","$87,110","$1,121","$1,802",56501,55505,83.1%,80.5%,
90278,"$69,614","$104,934",$943,"$1,649",37316,40839,75.1%,71.3%,
92883,"$69,462","$93,917","$1,038","$2,001",13168,31940,74.3%,71.6%,
94560,"$69,350","$86,521","$1,093","$1,570",42471,43635,52.2%,37.9%,
95497,"$69,327","$59,375","$1,375","$1,633",751,983,97.5%,98.7%,
90623,"$69,096","$83,767",$956,"$1,508",15498,15767,43.3%,42.2%,
94040,"$69,087","$101,912","$1,208","$1,683",32132,33958,65.4%,58.3%,
95046,"$69,063","$108,205",$748,"$1,613",5660,6303,67.8%,65.6%,
92075,"$69,057","$90,833","$1,114","$1,887",12170,12437,86.7%,81.3%,
94542,"$69,014","$80,327","$1,111","$1,452",11145,12498,54.0%,43.6%,
94611,"$68,853","$107,577",$799,"$1,222",36508,37225,71.6%,69.3%,
91914,"$68,771","$110,343","$1,375","$2,001",2601,16926,59.6%,52.6%,
95003,"$68,760","$83,902","$1,173","$1,741",24225,24383,89.6%,89.8%,
94043,"$68,721","$100,844","$1,208","$1,689",27821,29280,60.8%,61.3%,
92508,"$68,701","$92,684","$1,042","$1,873",17142,36583,69.7%,66.7%,
92037,"$68,691","$95,306","$1,067","$1,759",42603,39241,82.5%,81.8%,
93460,"$68,682","$91,737",$988,"$1,737",5704,4944,85.5%,86.2%,
95125,"$68,613","$102,479","$1,155","$1,499",46184,54696,75.7%,66.9%,
94513,"$68,515","$89,607",$832,"$1,854",26560,56929,74.1%,75.0%,
92630,"$68,311","$84,785","$1,087","$1,652",59167,59657,76.0%,66.7%,
90277,"$68,263","$99,398","$1,060","$1,762",34174,34546,83.8%,78.7%,
95133,"$68,214","$72,459","$1,000","$1,377",26018,27381,25.2%,23.6%,
95693,"$68,187","$79,121",$781,$917,5886,5943,85.0%,76.1%,
94538,"$68,121","$87,652","$1,206","$1,655",56111,63850,52.1%,32.1%,
94705,"$68,112","$96,537",$770,"$1,350",12443,12790,77.7%,80.5%,
95008,"$68,106","$88,987","$1,175","$1,528",44970,45495,72.7%,69.9%,
93111,"$68,087","$94,933","$1,119","$1,898",16470,17554,81.4%,77.1%,
94030,"$68,067","$92,006","$1,157","$1,779",20334,22203,63.1%,48.3%,
93551,"$68,057","$85,200",$792,"$1,585",34036,50572,70.9%,61.9%,
95758,"$68,026","$70,003",$972,"$1,439",47063,62099,58.2%,45.8%,
94041,"$67,889","$88,810","$1,257","$1,736",13471,13551,65.3%,66.5%,
94523,"$67,824","$81,685",$989,"$1,504",32671,34428,81.9%,76.1%,
94954,"$67,705","$81,980","$1,089","$1,563",35400,36624,82.1%,79.9%,
95004,"$67,697","$67,188",$921,"$1,297",3368,3886,78.4%,85.7%,
92592,"$67,593","$89,541",$910,"$1,709",46167,74558,79.0%,73.7%,
91741,"$67,419","$81,250",$856,"$1,549",24967,25678,86.6%,80.7%,
93923,"$67,315","$98,219","$1,247","$2,001",13108,12954,93.5%,93.8%,
93063,"$67,311","$83,974","$1,038","$1,666",49011,56687,82.8%,77.6%,
94403,"$67,152","$95,189","$1,210","$1,858",37919,40032,68.3%,65.0%,
92663,"$66,978","$86,967","$1,118","$1,772",22123,22772,91.8%,86.8%,
94947,"$66,970","$81,879","$1,145","$1,645",24724,25969,84.1%,82.7%,
91913,"$66,968","$84,741","$1,162","$1,823",12880,43655,58.4%,52.5%,
92845,"$66,830","$89,026","$1,001","$1,473",15864,17202,82.4%,76.1%,
94089,"$66,807","$88,797","$1,366","$1,834",16970,20476,51.1%,48.7%,
92128,"$66,676","$90,298","$1,159","$1,717",42728,49264,78.4%,67.9%,
91701,"$66,668","$76,994",$865,"$1,381",39055,40822,72.9%,75.2%,
91711,"$66,663","$89,508",$787,"$1,345",34715,36484,73.5%,71.2%,
94116,"$66,627","$84,828","$1,171","$1,584",42958,45552,42.7%,38.1%,
92835,"$66,607","$92,397",$997,"$1,388",21144,23378,79.2%,67.0%,
92118,"$66,489","$90,876","$1,024","$2,001",24085,22664,84.4%,90.2%,
92880,"$66,439","$101,303",$744,"$1,978",16990,61187,68.8%,53.6%,
90293,"$66,425","$84,588",$991,"$1,767",11252,11997,79.5%,69.1%,
92518,"$66,161","$68,261","$1,529","$1,823",990,1129,86.4%,80.7%,
94585,"$66,010","$70,721",$870,"$1,495",39260,29205,52.5%,35.8%,
90742,"$65,990","$88,971","$1,154","$1,577",1097,842,90.3%,84.6%,
94510,"$65,959","$89,500",$892,"$1,362",25573,27515,79.1%,73.1%,
94945,"$65,938","$83,638","$1,022","$1,661",16423,17973,84.6%,76.9%,
