,median_cost for house_2014,zip
712,"$2,161",92020
713,"$2,161",93440
714,"$2,161",95811
715,"$2,160",90712
716,"$2,156",91342
717,"$2,152",91605
718,"$2,151",95835
719,"$2,149",92802
720,"$2,148",90042
721,"$2,145",93604
722,"$2,144",90249
723,"$2,143",92054
724,"$2,139",90021
725,"$2,131",91790
726,"$2,128",90745
727,"$2,127",95405
728,"$2,125",92066
729,"$2,124",92591
730,"$2,124",94572
731,"$2,122",93444
732,"$2,121",90715
733,"$2,120",93932
734,"$2,119",92056
735,"$2,116",91910
736,"$2,116",92655
737,"$2,114",93551
738,"$2,112",94561
739,"$2,110",95258
740,"$2,109",94606
741,"$2,107",92587
742,"$2,106",94544
743,"$2,105",91776
744,"$2,102",92119
745,"$2,101",94591
746,"$2,095",90804
747,"$2,095",96143
748,"$2,093",91770
749,"$2,091",92804
750,"$2,091",95648
751,"$2,089",90605
752,"$2,089",95612
753,"$2,087",90016
754,"$2,087",91204
755,"$2,086",90303
756,"$2,085",95002
757,"$2,084",90604
758,"$2,084",92841
759,"$2,083",95698
760,"$2,078",95425
761,"$2,077",94519
762,"$2,077",95946
763,"$2,076",95831
764,"$2,074",90746
765,"$2,074",92040
766,"$2,071",91303
767,"$2,071",95337
768,"$2,070",93901
769,"$2,069",93015
770,"$2,069",95116
771,"$2,066",92203
772,"$2,066",95691
773,"$2,064",93422
774,"$2,061",95306
775,"$2,057",90806
776,"$2,057",95436
777,"$2,057",96073
778,"$2,055",92027
779,"$2,055",93446
780,"$2,055",95959
781,"$2,053",90302
782,"$2,050",90007
783,"$2,050",92840
784,"$2,049",92354
785,"$2,047",91352
786,"$2,047",91942
787,"$2,045",92115
788,"$2,041",96087
789,"$2,039",92506
790,"$2,036",95585
791,"$2,034",93955
792,"$2,034",96121
793,"$2,033",95410
794,"$2,031",90018
795,"$2,031",96085
796,"$2,030",95938
797,"$2,029",93651
798,"$2,027",95624
799,"$2,027",95628
800,"$2,025",90701
801,"$2,025",93060
802,"$2,022",92211
803,"$2,019",95570
804,"$2,017",94805
805,"$2,016",95212
806,"$2,016",95567
807,"$2,016",95837
808,"$2,015",92021
809,"$2,015",94578
810,"$2,013",92154
811,"$2,012",92223
812,"$2,012",95638
813,"$2,011",91730
814,"$2,010",90033
815,"$2,009",95668
816,"$2,006",90706
817,"$2,005",91752
818,"$2,003",90260
819,"$2,001",92397
820,"$2,000",92801
821,"$2,000",93455
822,"$2,000",95320
823,"$2,000",95565
824,"$1,998",90305
825,"$1,998",91792
826,"$1,996",91402
827,"$1,992",92879
828,"$1,992",93426
829,"$1,992",95776
830,"$1,987",93531
831,"$1,986",95669
832,"$1,985",95608
833,"$1,985",95667
834,"$1,984",95936
835,"$1,982",93022
836,"$1,980",94928
837,"$1,980",95252
838,"$1,980",95356
839,"$1,977",91010
840,"$1,976",90640
841,"$1,976",91331
842,"$1,976",92399
843,"$1,976",92584
844,"$1,975",95482
845,"$1,975",95689
846,"$1,974",90037
847,"$1,973",91932
848,"$1,972",92843
849,"$1,972",93711
850,"$1,967",91722
851,"$1,966",95677
852,"$1,966",95687
853,"$1,965",92868
854,"$1,962",91911
855,"$1,960",90031
856,"$1,960",93433
857,"$1,959",92352
858,"$1,957",95401
859,"$1,954",92058
860,"$1,952",95949
861,"$1,951",92555
862,"$1,951",95713
863,"$1,950",93636
864,"$1,950",93906
865,"$1,949",93563
866,"$1,948",95603
867,"$1,946",90802
868,"$1,945",92346
869,"$1,944",90502
870,"$1,944",91977
871,"$1,943",92083
872,"$1,941",96150
873,"$1,940",90062
874,"$1,940",94601
875,"$1,938",95829
876,"$1,936",90248
877,"$1,933",90606
878,"$1,932",90047
879,"$1,932",95242
880,"$1,930",90680
881,"$1,929",92844
882,"$1,929",95323
883,"$1,928",93312
884,"$1,925",93311
885,"$1,925",95326
886,"$1,924",93451
887,"$1,923",91945
888,"$1,921",95382
889,"$1,921",95633
890,"$1,920",92374
891,"$1,918",90650
892,"$1,917",95230
893,"$1,915",95519
894,"$1,913",95445
895,"$1,909",93720
896,"$1,907",93611
897,"$1,907",95709
898,"$1,906",93033
899,"$1,905",93041
900,"$1,904",95685
901,"$1,900",91761
902,"$1,900",94533
903,"$1,900",95549
904,"$1,899",93536
905,"$1,899",95620
906,"$1,898",95834
907,"$1,897",90744
908,"$1,896",96111
909,"$1,895",95461
910,"$1,895",95957
911,"$1,894",95444
912,"$1,892",95918
913,"$1,889",95456
914,"$1,889",95694
915,"$1,888",95376
916,"$1,887",92704
917,"$1,884",95247
918,"$1,883",92595
919,"$1,881",92139
920,"$1,880",93445
921,"$1,879",94806
922,"$1,878",91786
923,"$1,877",95454
924,"$1,876",95640
925,"$1,875",90032
926,"$1,875",94516
927,"$1,875",95469
928,"$1,875",95943
929,"$1,875",96029
930,"$1,874",92707
931,"$1,871",90670
932,"$1,869",94565
933,"$1,868",92701
934,"$1,868",95631
935,"$1,867",92264
936,"$1,867",92391
937,"$1,865",91916
938,"$1,865",94509
939,"$1,862",95623
940,"$1,860",90247
941,"$1,860",92315
942,"$1,860",95632
943,"$1,860",95678
944,"$1,860",96062
945,"$1,859",92262
946,"$1,858",90044
947,"$1,858",91702
948,"$1,858",93402
949,"$1,856",93920
950,"$1,855",95361
951,"$1,855",95758
952,"$1,853",90280
953,"$1,852",93668
954,"$1,852",95228
955,"$1,850",90660
956,"$1,849",93436
957,"$1,849",95629
958,"$1,848",94585
959,"$1,846",95662
960,"$1,845",91340
961,"$1,843",90805
962,"$1,843",95459
963,"$1,842",93723
964,"$1,841",95493
965,"$1,838",90301
966,"$1,838",92260
967,"$1,838",95928
968,"$1,837",90304
969,"$1,836",92337
970,"$1,835",95437
971,"$1,833",96017
972,"$1,832",92359
973,"$1,829",93514
974,"$1,828",90270
975,"$1,828",95619
976,"$1,823",90255
977,"$1,822",90813
978,"$1,822",94520
979,"$1,822",95524
980,"$1,821",92344
981,"$1,821",93454
982,"$1,819",90023
983,"$1,819",92114
984,"$1,819",92703
985,"$1,819",95330
986,"$1,817",91732
987,"$1,813",95450
988,"$1,813",95550
989,"$1,813",96117
990,"$1,806",95528
991,"$1,802",95467
992,"$1,801",95945
993,"$1,800",95564
994,"$1,800",95695
995,"$1,799",93960
996,"$1,796",91905
997,"$1,795",91950
998,"$1,795",93544
999,"$1,792",95407
1000,"$1,792",95973
1001,"$1,791",91767
1002,"$1,790",95651
1003,"$1,789",92505
1004,"$1,788",92398
1005,"$1,788",93245
1006,"$1,784",95254
1007,"$1,783",91744
