,Median_Rent_2000,zip
1012,$616,92201
1013,$614,95215
1014,$614,95632
1015,$613,91402
1016,$613,91963
1017,$613,92392
1018,$613,93960
1019,$613,95346
1020,$613,96062
1021,$612,90220
1022,$612,92346
1023,$612,92585
1024,$612,95236
1025,$612,95350
1026,$612,95973
1027,$610,92399
1028,$610,93534
1029,$610,96107
1030,$609,90032
1031,$609,93226
1032,$609,95458
1033,$608,92203
1034,$608,95370
1035,$608,95713
1036,$608,95820
1037,$607,90810
1038,$607,91768
1039,$607,95237
1040,$607,96117
1041,$606,90023
1042,$606,93553
1043,$606,95207
1044,$606,95822
1045,$605,92262
1046,$605,93722
1047,$605,95503
1048,$604,90043
1049,$604,90221
1050,$603,90040
1051,$603,91605
1052,$603,93434
1053,$602,90270
1054,$602,95323
1055,$601,90222
1056,$601,92386
1057,$601,93637
1058,$601,95354
1059,$600,90004
1060,$600,90028
1061,$600,95412
1062,$600,95482
1063,$600,95542
1064,$600,96103
1065,$599,90304
1066,$599,95258
1067,$599,95453
1068,$598,90062
1069,$598,93704
1070,$598,95315
1071,$598,95665
1072,$597,92570
1073,$597,95307
1074,$597,95519
1075,$596,95247
1076,$596,96003
1077,$595,90022
1078,$594,95245
1079,$594,95460
1080,$594,96092
1081,$593,90806
1082,$592,95549
1083,$592,95941
1084,$592,95960
1085,$591,92102
1086,$591,95560
1087,$590,90010
1088,$590,90255
1089,$590,91752
1090,$590,93309
1091,$590,95449
1092,$589,92596
1093,$589,93550
1094,$589,95615
1095,$588,92173
1096,$588,92548
1097,$588,95379
1098,$588,95420
1099,$587,95993
1100,$586,93040
1101,$585,90063
1102,$585,92308
1103,$584,95823
1104,$584,96130
1105,$583,95361
1106,$583,96022
1107,$582,90026
1108,$582,92358
1109,$582,92372
1110,$582,95316
1111,$581,90038
1112,$581,91917
1113,$581,92315
1114,$581,93292
1115,$581,95310
1116,$580,95204
1117,$580,95490
1118,$580,96114
1119,$579,90744
1120,$579,93277
1121,$577,92532
1122,$576,92356
1123,$576,95969
1124,$575,90061
1125,$575,92251
1126,$575,96002
1127,$575,96054
1128,$574,95240
1129,$574,95525
1130,$574,95824
1131,$572,90003
1132,$572,92086
1133,$572,93218
1134,$572,95222
1135,$571,91950
1136,$571,93601
1137,$571,95943
1138,$570,90031
1139,$570,92105
1140,$570,92282
1141,$570,92544
1142,$570,95251
1143,$570,95351
1144,$569,93306
1145,$568,90001
1146,$568,95536
1147,$568,95585
1148,$568,95641
1149,$568,96088
