,Median Income 2000,zip
937,"$40,115",95912
938,"$40,103",92021
939,"$40,097",92571
940,"$40,084",93309
941,"$40,076",96150
942,"$40,064",93631
943,"$40,063",95471
944,"$40,057",91767
945,"$40,019",95642
946,"$40,018",92407
947,"$39,972",91762
948,"$39,906",91945
949,"$39,906",95446
950,"$39,840",90704
951,"$39,821",90404
952,"$39,792",93424
953,"$39,789",92801
954,"$39,747",93535
955,"$39,672",93930
956,"$39,638",95623
957,"$39,609",92805
958,"$39,583",92250
959,"$39,578",92103
960,"$39,575",95619
961,"$39,552",95386
962,"$39,530",93225
963,"$39,444",93437
964,"$39,412",95818
965,"$39,375",95443
966,"$39,362",90706
967,"$39,359",91906
968,"$39,344",92530
969,"$39,306",95668
970,"$39,301",93451
971,"$39,290",94702
972,"$39,286",92399
973,"$39,225",91331
974,"$39,225",95360
975,"$39,219",96117
976,"$39,173",92264
977,"$39,167",95692
978,"$39,098",91764
979,"$39,091",93243
980,"$39,086",92354
981,"$39,058",95519
982,"$39,007",93454
983,"$38,993",95358
984,"$38,977",96096
985,"$38,964",92234
986,"$38,828",92025
987,"$38,773",90640
988,"$38,768",93675
989,"$38,750",93652
990,"$38,750",95318
991,"$38,714",93101
992,"$38,711",93306
993,"$38,688",93601
994,"$38,652",93245
995,"$38,613",94709
996,"$38,554",92553
997,"$38,482",93591
998,"$38,445",93927
999,"$38,438",95450
1000,"$38,438",95536
1001,"$38,408",93445
1002,"$38,405",95379
1003,"$38,386",96130
1004,"$38,378",95019
1005,"$38,366",96143
1006,"$38,290",92316
1007,"$38,271",90065
1008,"$38,229",91801
1009,"$38,227",95462
1010,"$38,199",92392
1011,"$38,187",91101
1012,"$38,179",91201
1013,"$38,085",91776
1014,"$38,077",92086
1015,"$38,057",92320
1016,"$38,056",93224
1017,"$38,049",96022
1018,"$38,036",95325
1019,"$38,010",91911
1020,"$38,003",95307
1021,"$37,969",93514
1022,"$37,930",93433
1023,"$37,917",95313
1024,"$37,896",91770
1025,"$37,831",95301
1026,"$37,813",95420
1027,"$37,766",95322
1028,"$37,727",91905
1029,"$37,714",95370
1030,"$37,708",95514
1031,"$37,671",95350
1032,"$37,635",95245
1033,"$37,625",95419
1034,"$37,604",93526
1035,"$37,591",92311
1036,"$37,574",93429
1037,"$37,568",92376
1038,"$37,500",95564
1039,"$37,487",92314
1040,"$37,484",93550
1041,"$37,434",93210
1042,"$37,431",91786
1043,"$37,398",90046
1044,"$37,361",93527
1045,"$37,344",92333
1046,"$37,305",95641
1047,"$37,301",92394
1048,"$37,250",92203
1049,"$37,232",96014
1050,"$37,231",90034
1051,"$37,230",92020
1052,"$37,227",93067
1053,"$37,224",93230
1054,"$37,178",91406
1055,"$37,176",93401
1056,"$37,175",95666
1057,"$37,167",95645
1058,"$37,146",94124
1059,"$37,110",91752
1060,"$37,086",92544
1061,"$37,083",93226
1062,"$37,045",95925
1063,"$37,043",93637
1064,"$37,032",93523
1065,"$37,026",95690
1066,"$37,000",95251
1067,"$36,989",93221
1068,"$36,966",90810
1069,"$36,950",95917
1070,"$36,938",95971
1071,"$36,875",93653
1072,"$36,850",95421
1073,"$36,839",93704
1074,"$36,794",95222
1075,"$36,769",90723
1076,"$36,769",91303
1077,"$36,732",93657
1078,"$36,646",92308
1079,"$36,625",94940
1080,"$36,607",93208
1081,"$36,566",95210
1082,"$36,563",92332
1083,"$36,544",95565
1084,"$36,528",92536
1085,"$36,518",94535
1086,"$36,500",93254
1087,"$36,461",90401
1088,"$36,391",95204
1089,"$36,354",95469
1090,"$36,339",95930
1091,"$36,328",96020
1092,"$36,322",95482
1093,"$36,281",93517
1094,"$36,277",92054
1095,"$36,250",92239
1096,"$36,250",95306
1097,"$36,250",95488
1098,"$36,250",95736
1099,"$36,250",96069
1100,"$36,219",96051
1101,"$36,180",92201
1102,"$36,176",93905
1103,"$36,146",95987
1104,"$36,118",92585
1105,"$36,064",90042
1106,"$36,058",95310
1107,"$36,025",91932
1108,"$36,001",95823
1109,"$36,000",95323
1110,"$35,984",92324
1111,"$35,982",92282
1112,"$35,952",93562
1113,"$35,917",96003
1114,"$35,910",90731
1115,"$35,903",93461
1116,"$35,899",95503
1117,"$35,846",90262
1118,"$35,835",95206
1119,"$35,811",95691
1120,"$35,749",95240
1121,"$35,746",92549
